ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,as_of
CIEN,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,Ciena Corporation,Buy,0.0025590006,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,54306406400.0,,,,,,,,24.0,targeted_current,2.8190862570936286,0.8827367638045647,1.7810057470279683,4.825341513803821,high,11.0,11.893832885368234,5.0,354.0,164.0,0.4632768361581921,2.563229593536395,3.831266611604265,0.8013201051393293,0.7496066435440728,persistent_leader,watch,35690.29866181668,1391.6924872488678,,,49.51369952516775,71.10995617614947,1.0,2,targeted_current,1,1,1,22.003,watch,3,NYQ,NYQ,True,1000000000.0,2026-03-22
STX,"{'SNDK', 'WDC', 'LITE'}",industry_top_growth|industry_top_performing|seed_peer,LITE|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.0043411152,technology,computer-hardware,,,,,3,3,LITE|SNDK|WDC,0,0,0,new,0.4933,4.829457364341085,411.23,475.354,92125954048.0,,,,,,,,26.5,targeted_current,1.905188762093026,0.4811093824105974,0.8982182983055236,3.624198915721743,high,8.937000000000001,9.722504261854066,6.0,233.0,43.0,0.1845493562231759,1.6993813532870838,2.396525177195754,0.7738956570028858,0.4205291857152666,persistent_leader,watch,35613.10065411923,1476.0875290752442,,,49.52549300952524,71.10995617614947,1.0,2,targeted_current,1,1,1,19.5554,watch,3,NMS,NMS,True,1000000000.0,2026-03-22
FIX,{'BE'},seed_peer,BE,,"Comfort Systems USA, Inc.",Strong Buy,0.0073543927,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,47855222784.0,,,,,,,,12.0,targeted_current,1.5038456882075049,0.5351497909359901,0.6972528606077617,2.794786464443005,high,9.35,9.91003415602168,6.0,806.0,115.0,0.1426799007444168,1.338381191167904,2.906760336426607,0.7824332554458805,0.3423238366828947,persistent_leader,watch,36182.58243232215,1391.6924872488678,,,49.5109866549567,71.10995617614947,1.0,2,targeted_current,1,1,1,18.2268,watch,3,NYQ,NYQ,True,1000000000.0,2026-03-22
COHR,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,Coherent Corp.,Buy,0.0022406767,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,47551025152.0,,,,,,,,24.0,targeted_current,1.6906457155960877,0.4880896576495019,1.3473391737094107,2.635230286456058,high,8.95,9.50412193950354,6.0,528.0,50.0,0.0946969696969697,1.538352809393877,2.2270806099523863,0.567189376405254,0.4735189066057004,persistent_leader,watch,35624.668861471706,1416.1224932694322,,,49.51778776743516,68.48127206483346,1.0,2,targeted_current,1,1,1,18.0173,watch,3,NYQ,NYQ,True,1000000000.0,2026-03-22
GEV,"{'BE', 'XLI'}",etf_holding|seed_peer,BE,XLI,GE Vernova Inc.,Buy,0.035486676,industrials,electrical-equipment-parts,GEV,GE Vernova Inc,0.0436343,BE,2,2,BE|XLI,0,0,0,new,,,,,230912688128.0,,,,,,,,20.0,targeted_current,0.8480831072960486,0.3856787051909247,0.3929132689430747,1.534455146701584,medium,7.775,8.521582713331746,10.0,144.0,7.0,0.0486111111111111,0.7422999159148282,2.0646718572275944,0.902371217809134,0.2192481192252585,persistent_leader,,,,,,,,,0,targeted_current,1,0,0,12.6613,review,2,NYQ,NYQ,True,1000000000.0,2026-03-22
GLW,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,Corning Incorporated,Buy,0.005036498,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,106883178496.0,,,,,,,,24.0,targeted_current,0.9395463076484912,0.4584406989175762,0.5646822096649917,1.5549632099974486,medium,6.6385000000000005,7.355138827338161,9.0,37.0,0.0,0.0,0.8346955795363205,1.4616239342202488,0.3615374309861817,0.3096939479107554,emerging_leader,,,,,,,,,0,targeted_current,1,0,0,10.9263,review,2,NYQ,NYQ,True,1000000000.0,2026-03-22
KEYS,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0022430469,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,47601324032.0,,,,,,,,24.0,targeted_current,0.6200694117509005,0.3979247493363622,0.5661079412259813,0.7851032134830886,medium,6.004,7.048788491254312,20.0,216.0,56.0,0.2592592592592592,0.5534727672270512,1.1329347602037705,0.6740375350540091,0.28834451827108,fringe,,,,,,,,,0,targeted_current,1,0,0,10.2786,review,2,NYQ,NYQ,True,1000000000.0,2026-03-22
DELL,"{'SNDK', 'WDC', 'LITE'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Dell Technologies Inc.,Buy,0.0049235523,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,0,0,0,new,0.2525,,157.67,167.217,104486264832.0,,,,,,,,26.5,targeted_current,0.3628186755671834,0.2328563525015334,0.1934751149837703,0.5971433976834215,low,4.856,5.80487050989215,40.0,274.0,34.0,0.1240875912408759,0.301354458569901,0.5758003978719911,0.8750605375277674,0.1314109935576901,fringe,,,,,,,,,0,targeted_current,1,0,0,8.3226,review,2,NYQ,NYQ,True,1000000000.0,2026-03-22
MPWR,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0024738694,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,52499771392.0,,,,,,,,24.0,targeted_current,0.3789814217875261,0.171663442681214,0.164603653889483,0.6970181792387253,low,4.6,5.429382757400378,37.0,220.0,0.0,0.0,0.3118261797284317,0.8619996391752119,0.6217379368356157,0.1022333254983485,fringe,,,,,,,,,0,targeted_current,1,0,0,7.3994,review,2,NMS,NMS,True,1000000000.0,2026-03-22
FDX,{'BE'},seed_peer,BE,,FedEx Corporation,Buy,0.013012492,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,84672618496.0,,,,,,,,12.0,targeted_current,0.468896299922259,0.2715708761879076,0.5843267377638659,0.4521285739478278,weak,3.285,4.774357561762901,33.0,70.0,0.0,0.0,0.4182883936942453,1.882199419848393,0.7820810481520115,0.2143482214528246,fringe,,,,,,,,,0,targeted_current,1,0,0,6.3542,review,2,NYQ,NYQ,True,1000000000.0,2026-03-22
INTC,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,Intel Corporation,Hold,0.010326139,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,219138473984.0,,,,,,,,24.0,targeted_current,0.5449399818215863,0.2169209392599655,0.4350670385944544,0.8188224463295284,weak,3.833,4.877696021609379,22.0,46.0,0.0,0.0,0.4742690170878176,0.747867615086309,0.4503471059515718,0.1888129300640599,fringe,,,,,,,,,0,targeted_current,1,0,0,6.274,review,2,NMS,NMS,True,1000000000.0,2026-03-22
CSX,{'BE'},seed_peer,BE,,CSX Corporation,Buy,0.0109081,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,70979280896.0,,,,,,,,12.0,targeted_current,0.173614741224538,0.0457533744916522,0.1417887472479522,0.2693714185675666,weak,3.7305,4.660489887739796,84.0,141.0,0.0,0.0,0.126860043271816,0.7748809137070853,0.6690823513633866,0.0430674615362748,fringe,,,,,,,,,0,targeted_current,1,0,0,5.6237,discovered,1,NMS,NMS,True,1000000000.0,2026-03-22
GWW,{'BE'},seed_peer,BE,,"W.W. Grainger, Inc.",Hold,0.0075856964,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,49360318464.0,,,,,,,,12.0,targeted_current,0.0426389048412826,0.0214695001627225,0.0365289251381082,0.059333586883737,weak,3.8495,4.507108160164444,101.0,151.0,46.0,0.304635761589404,0.0053741762036495,0.1556041333167354,0.6185945275922632,0.01252613669947,fringe,,,,,,,,,0,targeted_current,1,0,0,5.5896,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
JCI,{'BE'},seed_peer,BE,,Johnson Controls International plc,Buy,0.012199889,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,79384977408.0,,,,,,,,12.0,targeted_current,0.327025066004269,0.1144526551742379,0.19561202926486,0.5647243081586937,weak,2.4105,3.883066967281504,48.0,1.0,0.0,0.0,0.2663736438387815,1.1497992905039949,0.690440002392325,0.0851716097435148,fringe,,,,,,,,,0,targeted_current,1,0,0,5.3205,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
WAB,{'BE'},seed_peer,BE,,Westinghouse Air Brake Technologies Corporation,Buy,0.006201936,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,40356151296.0,,,,,,,,12.0,targeted_current,0.2273666106652827,0.1130705182973441,0.2400063224946793,0.2718749450198554,weak,2.6335,3.973882838604756,72.0,27.0,0.0,0.0,0.1817893568710833,1.0878577815518544,0.6900931085309676,0.0740449558102911,fringe,,,,,,,,,0,targeted_current,1,0,0,5.2399,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
PSTG,"{'SNDK', 'WDC'}",industry_top_growth,,,"Everpure, Inc.",,,technology,computer-hardware,,,,,2,1,SNDK|WDC,0,0,0,new,-0.0654,0.1408450704225353,,,20678649856.0,,,,,,,,17.5,targeted_current,-0.0371145090121422,-0.0556393040363201,-0.2806110403809334,0.2156444198687379,weak,4.146,4.028198804780876,120.0,251.0,44.0,0.1752988047808765,-0.085450856120092,-0.0630529950369687,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,4.7815,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
CSCO,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Cisco Systems, Inc.",Buy,0.014457001,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,306802491392.0,,,,,,,,24.0,targeted_current,0.1647650463470251,0.0217105463931435,0.1306057248230259,0.2704516178479652,weak,2.2,3.4524302542192045,87.0,0.0,0.0,0.0,0.1176924082375279,0.4840323765816631,0.6994041621885765,0.0463129281767642,fringe,,,,,,,,,0,targeted_current,1,0,0,4.682,discovered,1,NMS,NMS,True,1000000000.0,2026-03-22
DAL,{'BE'},seed_peer,BE,,"Delta Air Lines, Inc.",Strong Buy,0.006367673,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,41434611712.0,,,,,,,,12.0,targeted_current,0.1401221406337797,-0.0900746196792853,0.0667563027495583,0.3285863586745337,weak,2.6675,3.5902409001584337,83.0,35.0,0.0,0.0,0.0888034715779979,0.3274945609433675,0.5483932092673749,0.0278416243300143,fringe,,,,,,,,,0,targeted_current,1,0,0,4.6721,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
MSI,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Motorola Solutions, Inc.",Buy,0.00355019,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,75341152256.0,,,,,,,,24.0,targeted_current,0.0492527247366927,0.2079094712796243,-0.0467811237182842,0.0659581999202039,weak,2.766,3.5849884480488075,105.0,92.0,0.0,0.0,0.012264413808329,0.2172629742417705,0.7788526987308275,0.0404613813505183,fringe,,,,,,,,,0,targeted_current,1,0,0,4.615,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
AME,{'BE'},seed_peer,BE,,"AMETEK, Inc.",Buy,0.007370407,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,47959425024.0,,,,,,,,12.0,targeted_current,0.1262557792714313,0.0473736943964442,0.1095389427834214,0.1824136581969346,weak,2.15,3.3536152811009874,90.0,0.0,0.0,0.0,0.083607861592475,0.5867172364894456,0.620285989937317,0.0399061452309955,fringe,,,,,,,,,0,targeted_current,1,0,0,4.537,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
URI,{'BE'},seed_peer,BE,,"United Rentals, Inc.",Buy,0.0069474615,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,45207310336.0,,,,,,,,12.0,targeted_current,-0.0659838979248954,-0.1035531450772913,-0.2464175614279607,0.1332343891543679,weak,3.721,3.63023248377476,137.0,245.0,19.0,0.0775510204081632,-0.110229618002229,-0.1418452109307805,0.1329691056109945,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,4.4123,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
ROK,{'BE'},seed_peer,BE,,"Rockwell Automation, Inc.",Buy,0.0061358525,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,39926145024.0,,,,,,,,12.0,targeted_current,0.1360993810038802,-0.0883863593933994,0.0187915648348824,0.3656500673715179,weak,2.1,3.135415264874084,91.0,0.0,0.0,0.0,0.0825260073770891,0.4243548195943023,0.5006921081234728,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,4.3102,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
PCAR,{'BE'},seed_peer,BE,,PACCAR Inc,Buy,0.008991976,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,58511015936.0,,,,,,,,12.0,targeted_current,0.0850182352053059,-0.0033144775265697,0.0970223244423027,0.1171805023342469,weak,2.05,3.0876986565943665,93.0,0.0,0.0,0.0,0.0451842804724723,0.3545884831351538,0.5979523767042885,0.0357120509529888,fringe,,,,,,,,,0,targeted_current,1,0,0,4.2432,discovered,1,NMS,NMS,True,1000000000.0,2026-03-22
NSC,{'BE'},seed_peer,BE,,Norfolk Southern Corporation,Hold,0.009701045,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,63124951040.0,,,,,,,,12.0,targeted_current,0.0678328170593325,-0.0453078717173365,-0.0056247218730979,0.1978607003800976,weak,1.963,2.978034807718921,101.0,6.0,0.0,0.0,0.0227841970175746,0.3274529587581988,0.6697246795315352,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,4.1454,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
FERG,{'BE'},seed_peer,BE,,Ferguson Enterprises Inc.,Buy,0.006713046,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,43681959936.0,,,,,,,,12.0,targeted_current,0.1018045357255894,-0.0330666775173611,-0.050785338327369,0.3218300164000234,weak,2.0105,3.003387416507631,94.0,1.0,0.0,0.0,0.0502341358339918,0.356077819601619,0.4678123608460519,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,4.1438,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
TEL,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,TE Connectivity plc,Buy,0.0027088274,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,57485987840.0,,,,,,,,24.0,targeted_current,0.0664916114505086,-0.1207291335045074,-0.098798957534911,0.3253925529134365,weak,1.95,2.736510301809918,100.0,0.0,0.0,0.0,0.0137197331009592,0.1796348302122692,0.390017169683197,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.8456,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
WCN,{'BE'},seed_peer,BE,,"Waste Connections, Inc.",Strong Buy,0.006387459,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,41563357184.0,,,,,,,,12.0,targeted_current,-0.1034347440210733,-0.0761932026256214,-0.0730859532328259,-0.1474043055070466,weak,2.564,2.705791341287643,140.0,120.0,6.0,0.05,-0.1319286163063769,-0.4123365667316915,0.4661522354794055,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.8025,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
UNP,{'BE'},seed_peer,BE,,Union Pacific Corporation,Buy,0.021422926,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,139399528448.0,,,,,,,,12.0,targeted_current,0.0224044996957555,-0.0076877894820835,0.0660736863235866,-0.0062185423431558,weak,1.7315,2.6228448473791044,119.0,3.0,0.0,0.0,-0.0115235327360717,0.0977668613760006,0.6569972773269204,0.0092441349715876,fringe,,,,,,,,,0,targeted_current,1,0,0,3.7901,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
ITW,{'BE'},seed_peer,BE,,Illinois Tool Works Inc.,Hold,0.011412799,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,74263371776.0,,,,,,,,12.0,targeted_current,-0.0025367486343299,0.0209191715807344,-0.0224211986198955,0.0056197412437033,weak,1.75,2.5526372540126023,119.0,0.0,0.0,0.0,-0.0376051707291307,-0.0109890495132606,0.6002287566876705,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.6746,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
SNPS,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Synopsys, Inc.",Buy,0.0037941004,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,80517357568.0,,,,,,,,24.0,targeted_current,-0.0908850379798049,-0.0722846347596872,-0.1245339190010019,-0.0665363585686668,weak,2.652,2.5595380499402967,139.0,124.0,0.0,0.0,-0.1238475672524211,-0.218726149536485,0.0037300832338272,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.471,discovered,1,NMS,NMS,True,1000000000.0,2026-03-22
MMM,{'BE'},seed_peer,BE,,3M Company,Buy,0.011429192,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,74370039808.0,,,,,,,,12.0,targeted_current,-0.0937682617021198,-0.1293087590644048,-0.091377075327951,-0.0783891993951461,weak,2.004,2.311587332959255,137.0,48.0,0.0,0.0,-0.1262569597572586,-0.3129626901731697,0.4533122215987584,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.4423,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
RSG,{'BE'},seed_peer,BE,,"Republic Services, Inc.",Buy,0.010432923,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,67887296512.0,,,,,,,,12.0,targeted_current,-0.0348406454105865,0.0212825753976981,-0.0326849430667681,-0.0650579581585472,weak,1.55,2.214961880184406,130.0,0.0,0.0,0.0,-0.0664432090663285,-0.2137508532020113,0.5707698003073431,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.411,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
UPS,{'BE'},seed_peer,BE,,"United Parcel Service, Inc.",Buy,0.012508771,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,81394892800.0,,,,,,,,12.0,targeted_current,-0.0328470858720094,-0.0505150408118957,0.1271016716132891,-0.1839618658873647,weak,1.6,2.270142865862165,121.0,0.0,0.0,0.0,-0.0576337664906319,-0.1231373010376947,0.4252381097702753,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.4014,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
CTAS,{'BE'},seed_peer,BE,,Cintas Corporation,Buy,0.011025272,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,71741726720.0,,,,,,,,12.0,targeted_current,-0.0836999630992371,-0.0428563750256525,-0.1010976829446718,-0.0867240372905947,weak,1.9405,2.2158490954158507,140.0,61.0,0.0,0.0,-0.1152434624792763,-0.4316309072624783,0.3935818256930841,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.3496,discovered,1,NMS,NMS,True,1000000000.0,2026-03-22
ADSK,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Autodesk, Inc.",Strong Buy,0.0024773614,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,52573880320.0,,,,,,,,24.0,targeted_current,-0.1539153949018675,-0.1535310630444182,-0.2323241736830296,-0.07569878204943,weak,2.032,2.100928366886775,151.0,84.0,0.0,0.0,-0.1878997967332006,-0.4156801041931207,0.3110472781446249,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.2346,discovered,1,NMS,NMS,True,1000000000.0,2026-03-22
IBM,"{'SNDK', 'WDC', 'LITE'}",seed_peer,LITE|SNDK|WDC,,International Business Machines Corporation,Buy,0.010690892,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,226879176704.0,,,,,,,,24.0,targeted_current,-0.0923275484151328,-0.2029210126780954,-0.0876603612359964,-0.0416980034627878,weak,1.4,1.8515529104232864,138.0,0.0,0.0,0.0,-0.127146008082846,-0.2050473317222907,0.3359215173721438,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.0562,discovered,1,NYQ,NYQ,True,1000000000.0,2026-03-22
